Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1539005324258,937264945519,-1.1779473,2.2888567,9.040505
android.sensor.accelerometer,1539005324278,937284967185,-1.340753,2.27928,9.088389
android.sensor.accelerometer,1539005324290,937304958331,-1.4652514,2.1643584,9.375694
android.sensor.accelerometer,1539005324310,937324949477,-1.6280571,2.0494366,9.653421
android.sensor.accelerometer,1539005324330,937344940623,-1.6759412,1.9536686,9.730036
android.sensor.accelerometer,1539005324352,937364962290,-1.5897499,1.8770541,9.624691
android.sensor.accelerometer,1539005324371,937384953435,-1.5897499,1.8195933,9.691729
android.sensor.accelerometer,1539005324390,937404944581,-1.6950948,1.7812861,9.921572
android.sensor.accelerometer,1539005324410,937424966248,-1.7812861,1.7812861,10.084377
android.sensor.accelerometer,1539005324429,937444957394,-1.8004397,1.7908629,9.797073
android.sensor.accelerometer,1539005324450,937464948540,-1.6759412,1.7717092,9.433155
android.sensor.accelerometer,1539005324470,937484939685,-1.685518,1.8674773,9.605537
android.sensor.accelerometer,1539005324490,937504961352,-1.6089035,1.7908629,9.299079
android.sensor.accelerometer,1539005324510,937524952498,-1.5801731,1.8674773,9.078813
android.sensor.accelerometer,1539005324530,937544943644,-1.4556746,1.8483237,8.973468
android.sensor.accelerometer,1539005324550,937564965310,-1.541866,1.8962077,9.11712
android.sensor.accelerometer,1539005324570,937584956456,-1.5514427,1.9153614,9.260772
android.sensor.accelerometer,1539005324618,937604947602,-1.4939818,1.8866309,9.289502
android.sensor.accelerometer,1539005324618,937624938748,-1.436521,1.934515,9.471462
android.sensor.accelerometer,1539005324656,937644960415,-1.3311762,1.9536686,9.653421
android.sensor.accelerometer,1539005324656,937664951560,-1.283292,1.9728222,9.461885
android.sensor.accelerometer,1539005324696,937684942706,-1.340753,2.0111294,9.337387
android.sensor.accelerometer,1539005324696,937704964373,-1.4077905,2.0590134,9.414001
android.sensor.accelerometer,1539005324719,937724955519,-1.484405,2.087744,9.576807
android.sensor.accelerometer,1539005324730,937744946665,-1.4269443,2.0973208,9.586384
android.sensor.accelerometer,1539005324750,937764937810,-1.3599066,2.1068976,9.548077
android.sensor.accelerometer,1539005324770,937784959477,-1.4748282,2.135628,9.56723
android.sensor.accelerometer,1539005324790,937804950623,-1.5705963,2.231396,9.3661175
android.sensor.accelerometer,1539005324809,937824941769,-1.5897499,2.27928,9.308656
android.sensor.accelerometer,1539005324830,937844963435,-1.5610195,2.2218192,9.3661175
android.sensor.accelerometer,1539005324850,937864954581,-1.5897499,2.2026656,9.557653
android.sensor.accelerometer,1539005324870,937884945727,-1.4460979,2.1452048,9.615114
android.sensor.accelerometer,1539005324890,937904967394,-1.436521,2.1643584,9.682152
android.sensor.accelerometer,1539005324911,937924958540,-1.5131354,2.2409728,9.509769
android.sensor.accelerometer,1539005324930,937944949685,-1.541866,2.2505496,9.337387
android.sensor.accelerometer,1539005324950,937964940831,-1.5035586,2.2697031,9.385271
android.sensor.accelerometer,1539005324970,937984962498,-1.4269443,2.2026656,9.414001
android.sensor.accelerometer,1539005324989,938004953644,-1.484405,2.2409728,9.481039
android.sensor.accelerometer,1539005325010,938024944790,-1.5514427,2.3558946,9.548077
android.sensor.accelerometer,1539005325030,938044966456,-1.4269443,2.2984335,9.634268
android.sensor.accelerometer,1539005325050,938064957602,-1.3215994,2.1643584,9.816227
android.sensor.accelerometer,1539005325071,938084948748,-1.388637,2.2122424,10.01734
android.sensor.accelerometer,1539005325090,938104939894,-1.3982137,2.2218192,9.864111
android.sensor.accelerometer,1539005325110,938124961560,-1.4173675,2.327164,9.672575
android.sensor.accelerometer,1539005325130,938144952706,-1.3599066,2.3558946,9.461885
android.sensor.accelerometer,1539005325150,938164943852,-1.2449849,2.3942018,9.356541
android.sensor.accelerometer,1539005325170,938184965519,-1.2545617,2.4133554,9.356541
android.sensor.accelerometer,1539005325190,938204956665,-1.283292,2.4229321,9.490616
android.sensor.accelerometer,1539005325211,938224947810,-1.2545617,2.4037786,9.528923
android.sensor.accelerometer,1539005325230,938244938956,-1.1779473,2.4516625,9.442732
android.sensor.accelerometer,1539005325251,938264960623,-1.1779473,2.4516625,9.423578
android.sensor.accelerometer,1539005325271,938284951769,-1.2066777,2.4420857,9.461885
android.sensor.accelerometer,1539005325289,938304942915,-1.1204864,2.432509,9.461885
android.sensor.accelerometer,1539005325310,938324964581,-1.1013328,2.4133554,9.662998
android.sensor.accelerometer,1539005325331,938344955727,-1.1492168,2.3942018,9.730036
android.sensor.accelerometer,1539005325349,938364946873,-1.2162545,2.432509,9.576807
android.sensor.accelerometer,1539005325370,938384938019,-1.1683705,2.4420857,9.423578
android.sensor.accelerometer,1539005325390,938404959685,-1.1204864,2.4229321,9.481039
android.sensor.accelerometer,1539005325411,938424950831,-1.1013328,2.4420857,9.615114
android.sensor.accelerometer,1539005325430,938444941977,-1.2545617,2.4037786,9.816227
android.sensor.accelerometer,1539005325450,938464963644,-1.3120226,2.4037786,9.854534
android.sensor.accelerometer,1539005325470,938484954790,-1.2545617,2.4229321,9.672575
android.sensor.accelerometer,1539005325490,938504945935,-1.0151415,2.4899697,9.461885
android.sensor.accelerometer,1539005325510,938524937081,-0.79487497,2.5474305,9.682152
android.sensor.accelerometer,1539005325530,938544958748,-0.6703765,2.4995465,9.5385
android.sensor.accelerometer,1539005325550,938564949894,-1.2545617,2.5187001,9.634268
android.sensor.accelerometer,1539005325570,938584941040,-1.7908629,2.5091233,9.950302
android.sensor.accelerometer,1539005325591,938604962706,-1.4460979,2.6240451,9.212888
android.sensor.accelerometer,1539005325610,938624953852,-0.91937345,2.5761611,9.3182335
android.sensor.accelerometer,1539005325632,938644944998,-0.8331822,2.6240451,9.299079
android.sensor.accelerometer,1539005325650,938664966665,-1.0630256,2.5953147,9.126697
